Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРТ-РАДИО""";"АО ""АРТ-РАДИО""";Непубличные акционерные общества;603155, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. НИЖНИЙ НОВГОРОД, УЛ. БОЛЬШАЯ ПЕЧЕРСКАЯ, Д. 32, ПОМЕЩ. 3, ОФИС 10;1025203018323;5260062819;+7 831 282-90-88;buh1@aradio-nn.ru;нижегородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АСВТ""";"АО ""АСВТ""";Публичные акционерные общества;127322, Г.МОСКВА, УЛ. ЯБЛОЧКОВА, Д.19Б;1027739090125;7710030404;(495) 744-55-77;office@asvt.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АССОЦИАЦИЯ КАБЕЛЬНОГО ТЕЛЕВИДЕНИЯ""";"АО ""АКТВ""";Непубличные акционерные общества;613047, КИРОВСКАЯ ОБЛАСТЬ, Г. КИРОВО-ЧЕПЕЦК, УЛ. ЛЕНИНА, Д. 24, 4 ЭТАЖ, КАБИНЕТ 4;1034313503641;4341017058;(83361) 5-34-67;aktv@aktv.ru;кировская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТКОМ""";"АО ""АТКОМ""";Непубличные акционерные общества;195112, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МАЛАЯ ОХТА, ПР-КТ МАЛООХТИНСКИЙ, Д. 68, ЛИТЕРА А, ПОМЕЩ. 34-Н;1037816030020;7806055689;8 (812) 322-94-00;andreys@atcom.spb.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМДАТА""";"АО ""АТОМДАТА""";Общества с ограниченной ответственностью;115191, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ДАНИЛОВСКИЙ, ПРОЕЗД 4-Й РОЩИНСКИЙ, Д. 19, ОФИС 301;1207700111277;9725031147;(495) 223-35-58;info@atomdata.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМДАТА-ИННОПОЛИС""";"АО ""АТОМДАТА-ИННОПОЛИС""";Акционерные общества;420500, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), муниципальный район ВЕРХНЕУСЛОНСКИЙ, Г.П. ГОРОД ИННОПОЛИС, Г ИННОПОЛИС, УЛ ЦЕНТРАЛЬНАЯ, ЗД. 304;1201600078382;1615015998;7-967-375-20-60;atomdata-innopolis@rosenergoatom.ru;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АУДИОТЕЛЕ""";"АО ""АУДИОТЕЛЕ""";Акционерные общества;109147, Г.МОСКВА, УЛ МАРКСИСТСКАЯ, Д. 22, СТР. 1, ПОДЪЕЗД 2 ЭТАЖ 3 КОМНАТА 7;1037739448340;7731251901;+7 (495) 505-97-30;marketing@audiotele.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЧИНСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД ВОСТОЧНОЙ НЕФТЯНОЙ КОМПАНИИ""";"АО ""АНПЗ ВНК""";Акционерные общества;, КРАСНОЯРСКИЙ КРАЙ, муниципальный район БОЛЬШЕУЛУЙСКИЙ, С.П. БОЛЬШЕУЛУЙСКИЙ СЕЛЬСОВЕТ, Р-Н ПРОМЗОНА НПЗ, СТР. 1;1022401153532;2443000518;(39159)5-33-10;Sekr@anpz.rosneft.ru;красноярский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОПОРТ СУРГУТ""";"АО ""АЭРОПОРТ СУРГУТ""";Акционерные общества;628422, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г. СУРГУТ, УЛ. АЭРОФЛОТСКАЯ, Д. 49/1;1028600603998;8602060523;+7 (346) 277-02-76;office@airsurgut.ru;ханты-мансийский автономный округ - югра
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОПОРТ ТОЛМАЧЕВО""";"АО ""АЭРОПОРТ ТОЛМАЧЕВО""";Публичные акционерные общества;633104, НОВОСИБИРСКАЯ ОБЛАСТЬ, городской округ ГОРОД ОБЬ, Г ОБЬ, ПР-КТ МОЗЖЕРИНА, Д. 101;1025405625024;5448100208;(383) 216-92-70;ertos@ovbport.ru;новосибирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОПОРТ ЮЖНО-САХАЛИНСК""";"АО ""АЭРОПОРТ ЮЖНО-САХАЛИНСК""";Публичные акционерные общества;693014, САХАЛИНСКАЯ ОБЛАСТЬ, Г ЮЖНО-САХАЛИНСК, УЛ ИМ И.П.КУРОПАТКО, Д. 21;1136501003066;6501255385;8 (4242) 788-319;ysa@airportus.ru;сахалинская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЭРОПОРТ ЯКУТСК""";"АО ""АЭРОПОРТ ЯКУТСК""";Публичные акционерные общества;677014, РЕСПУБЛИКА САХА (ЯКУТИЯ), Г. ЯКУТСК, ПЛ. ВАЛЕРИЯ КУЗЬМИНА, Д. 10;1101435011710;1435235578;(4112)49-10-91;office@yks.aero;республика саха (якутия)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАРС ГРУП""";"АО ""БАРС ГРУП""";Непубличные акционерные общества;420012, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. НЕКРАСОВА, Д. 9, ОФИС 11;1121690063923;1655251590;+7(927) 444-55-43;bars@bars.group;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИГ ТЕЛЕКОМ""";"АО ""БИГ ТЕЛЕКОМ""";Непубличные акционерные общества;125080, Г.МОСКВА, Ш. ВОЛОКОЛАМСКОЕ, Д. 10;1037739407034;7743054859;+7-495-787-78-71;info@bigtelecom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЗНЕСКОМ""";"АО ""БИЗНЕСКОМ""";Акционерные общества;162602, ВОЛОГОДСКАЯ ОБЛАСТЬ, Г. ЧЕРЕПОВЕЦ, ПР-КТ СОВЕТСКИЙ, Д. 22, ЛИТЕР А, ПОМЕЩ. 2, ОФИС 2;1183525033230;3528294019;+7 921 937-99-03;vva@severtm.ru;вологодская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БОРОВИЧСКИЙ КОМБИНАТ ОГНЕУПОРОВ""";"АО ""БКО""; АО ""БОРОВИЧСКИЙ КОМБИНАТ ОГНЕУПОРОВ""";Акционерные общества;174411, НОВГОРОДСКАЯ ОБЛАСТЬ, муниципальный район БОРОВИЧСКИЙ, Г.П. ГОРОД БОРОВИЧИ, Г БОРОВИЧИ, УЛ МЕЖДУНАРОДНАЯ, Д. 1;1025300987139;5320002951;88166492502;ats@aobko.ru;новгородская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЭТО""";"АО ""БЭТО""";Акционерные общества;450022, РЕСПУБЛИКА БАШКОРТОСТАН, Г УФА, УЛ МЕНДЕЛЕЕВА, Д. 134, -;1020202551423;0274068924;(347)252-29-04, (347)252-21-01;asu@oaobeto.ru;республика башкортостан
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""В2-ГРУПП""";"АО ""В2-ГРУПП""";Непубличные акционерные общества;123298, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЩУКИНО, УЛ НАРОДНОГО ОПОЛЧЕНИЯ, Д. 40, К. 4;1237700698168;7734485827;+7 495 445-05-15;inbox@v2grp.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВАЙНАХ ТЕЛЕКОМ""";"АО ""ВАЙНАХ ТЕЛЕКОМ""";Непубличные акционерные общества;364024, ЧЕЧЕНСКАЯ РЕСПУБЛИКА, городской округ ГОРОД ГРОЗНЫЙ, Г ГРОЗНЫЙ, Р-Н АХМАТОВСКИЙ, УЛ ПУШКИНА, ЗД. 8, СТР. 1;1032000802932;2005503932;+78712 29-03-02;info@vainahtelecom.ru;чеченская республика
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИЗАРДСОФТ.РУ""";"АО ""ВИЗАРДСОФТ.РУ""";Акционерные общества;192236, Г.САНКТ-ПЕТЕРБУРГ, УЛ. СОФИЙСКАЯ, Д. 17, ЛИТЕРА А, ПОМЕЩ. 448;1069847570814;7816404515;7-812-655-63-23;buh@wizardsoft.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВМБ-СЕРВИС""";"АО ""ВМБ-СЕРВИС""";Непубличные акционерные общества;195112, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МАЛАЯ ОХТА, ПЛ КАРЛА ФАБЕРЖЕ, Д. 8, ЛИТЕРА А, ПОМЕЩ. 9-Н, КОМ. 12;1027804175816;7806052423;+7 (812) 718-44-88;info@vmb-service.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЕНТЕЛЕКОМ""";"АО ""ВОЕНТЕЛЕКОМ""";Публичные акционерные общества;107014, Г.МОСКВА, УЛ. БОЛЬШАЯ ОЛЕНЬЯ, Д.15А, СТР.1;1097746350151;7718766718;(495)609-50-05;info@voentelecom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛГААЭРОТЕЛЕКОМ""";"АО ""ВОЛГААЭРОТЕЛЕКОМ""";Акционерные общества;446394, САМАРСКАЯ ОБЛАСТЬ, КРАСНОЯРСКИЙ Р-Н, ПГТ ВОЛЖСКИЙ, УЛ ЖИЛГОРОДОК, ЗД. 19Б, КАБИНЕТ 4;1036300222859;6313004727;(846) 276-19-03;info@metromax.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛЖСКИЙ ТРУБНЫЙ ЗАВОД""";"АО ""ВТЗ""";Акционерные общества;404119, ВОЛГОГРАДСКАЯ ОБЛАСТЬ, Г ВОЛЖСКИЙ, ПР-КТ МЕТАЛЛУРГОВ, Д. 6;1023401997101;3435900186;(8443) 551-366;vtz@vtz.ru;волгоградская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ БИРЖА ИМЕНИ В.В.НИКОЛАЕВА""";"АО ""ВОСТОЧНАЯ БИРЖА""";Непубличные акционерные общества;690090, ПРИМОРСКИЙ КРАЙ, городской округ ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ АЛЕУТСКАЯ, ЗД. 45, ОФИС 701;1027800556046;7801012233;8 (812) 322-77-78;spbex@spbex.ru;приморский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНЫЙ ДОНБАСС""";"АО ""ВОСТОЧНЫЙ ДОНБАСС""";Непубличные акционерные общества;344113, РОСТОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД РОСТОВ-НА-ДОНУ, Г РОСТОВ-НА-ДОНУ, Б-Р КОМАРОВА, ЗД. 28/2, ОФИС 224;1056144007699;6144010579;8-863-237-13-02;tvholding.rostov@gmail.com;ростовская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНЫЙ ПОРТ""";"АО ""ВОСТОЧНЫЙ ПОРТ""";Публичные акционерные общества;692941, ПРИМОРСКИЙ КРАЙ, Г. НАХОДКА, УЛ ВНУТРИПОРТОВАЯ (ПОСЕЛОК ВРАНГЕЛЬ МКР.), Д. 47;1022500696305;2508001544;8 (4236) 665-271;vp@vp.vpnet.ru;приморский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОТКИНСКИЙ ЗАВОД""";"АО ""ВОТКИНСКИЙ ЗАВОД""";Акционерные общества;427430, УДМУРТСКАЯ РЕСПУБЛИКА, Г. ВОТКИНСК, УЛ. КИРОВА, Д.2;1101828001000;1828020110;8-34145-6-53-31;tihonov@vzavod.ru;удмуртская республика
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВФМ""";"АО ""ВФМ""";Публичные акционерные общества;600017, ВЛАДИМИРСКАЯ ОБЛАСТЬ, Г. ВЛАДИМИР, УЛ. МИРА, Д.34;1033302000588;3302014453;(4922)533-950;vfm68@mail/ru;владимирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСТАВКА ДОСТИЖЕНИЙ НАРОДНОГО ХОЗЯЙСТВА""";"АО ""ВДНХ""";Акционерные общества;129223, Г.МОСКВА, ПР-КТ МИРА, Д. 119, СТР. 230;1027700008874;7717037582;+7 (495) 544-34-47*2970;taleshina@vdnh.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР ЯКУТАВИА""";"АО ""ВЦ ЯКУТАВИА""";Публичные акционерные общества;677000, РЕСПУБЛИКА САХА (ЯКУТИЯ), Г. ЯКУТСК, УЛ. ОРДЖОНИКИДЗЕ, Д.10;1021401044345;1435017153;+7 411 234-05-81;yacc@yakutia.ru;республика саха (якутия)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЯТСКОЕ МАШИНОСТРОИТЕЛЬНОЕ ПРЕДПРИЯТИЕ ""АВИТЕК""";"АО ""ВМП ""АВИТЕК""";Акционерные общества;610047, КИРОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД КИРОВ, Г КИРОВ, ПР-КТ ОКТЯБРЬСКИЙ, Д. 1А;1024301320977;4345047310;(8332) 74-02-22;info@vmpavitec.ru;кировская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ КОСМИЧЕСКИЕ СИСТЕМЫ""";"АО ""ГАЗПРОМ КОСМИЧЕСКИЕ СИСТЕМЫ""";Акционерные общества;141108, МОСКОВСКАЯ ОБЛАСТЬ, Г ЩЁЛКОВО, УЛ МОСКОВСКАЯ, Д. 77Б;1025002045177;5018035691;(495) 504-29-06;info@gazprom-spacesystems.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАММА""";"АО ""ГАММА""";Непубличные акционерные общества;394030, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. ПЛЕХАНОВСКАЯ, Д. 66Б, ОФИС 221;1023601563039;3666017563;(473) 251-03-79;gamma036@mail.ru;воронежская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛОБУС-ТЕЛЕКОМ""";"АО ""ГЛОБУС-ТЕЛЕКОМ""";Акционерные общества;127018, Г.МОСКВА, УЛ. ОБРАЗЦОВА, Д.38;1027739037655;7715227394;(495) 980-00-98;a.kazanovich@globus-telecom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛОНАСС""";"АО ""ГЛОНАСС""";Акционерные общества;115184, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, НАБ ОЗЕРКОВСКАЯ, Д. 14;1157746554239;7703383783;+7 (495) 988-47-10;zelenev.a@aoglonass.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""";"АО ""ГОЗНАК""";Акционерные общества;197046, Г.САНКТ-ПЕТЕРБУРГ, ТЕР ПЕТРОПАВЛОВСКАЯ КРЕПОСТЬ, Д. 3, ЛИТЕР Г;1167847225281;7813252159;(495)363-23-77;goznak@goznak.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКОЙ УЗЕЛ СВЯЗИ Г. РАДУЖНЫЙ""";"АО ""ГОРОДСКОЙ УЗЕЛ СВЯЗИ Г. РАДУЖНЫЙ""";Акционерные общества;600910, ВЛАДИМИРСКАЯ ОБЛАСТЬ, Г РАДУЖНЫЙ, КВ-Л 1-Й, Д. 50;1033303407026;3308000577;+7 (910) 183-84-85;gus_gd@radugavl.ru;владимирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСТИНИЧНЫЙ КОМПЛЕКС ""БЕРЛИН""";"АО Г/К ""БЕРЛИН""";Публичные акционерные общества;117303, Г.МОСКВА, УЛ. МАЛАЯ ЮШУНЬСКАЯ, Д. 1, К. 2;1147746926513;7727841506;(495) 319-82-42;post@berlin.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСТИНИЧНЫЙ КОМПЛЕКС ТАТАРСТАН""";"АО ""ГК ТАТАРСТАН""";Публичные акционерные общества;420111, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. ПУШКИНА, Д.4;1021602838696;1654002858;843-264-60-05;tathotel@yandex.ru;республика татарстан (татарстан)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ КОСМИЧЕСКИЙ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ИМЕНИ М.В. ХРУНИЧЕВА""";"АО ""ГКНПЦ ИМ. М.В. ХРУНИЧЕВА""";Акционерные общества;121309, Г.МОСКВА, УЛ НОВОЗАВОДСКАЯ, ДВЛД. 18;5177746220361;7730239877;8 (495) 797-33-33;agd@khrunichev.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРИНАТОМ""";"АО ""ГРИНАТОМ""";Акционерные общества;119017, Г.МОСКВА, УЛ. БОЛЬШАЯ ОРДЫНКА, Д.24;1097746819720;7706729736;(499) 949-4919;info@greenatom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ""ИЛИМ""";"АО ""ГРУППА ""ИЛИМ""";Акционерные общества;191025, Г.САНКТ-ПЕТЕРБУРГ, УЛ. МАРАТА, Д.17;5067847380189;7840346335;(812) 718-60-50;office@ilimgroup.ru;г.санкт-петербург
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА ОПТИКОМ""";"АО ""ГРУППА ОПТИКОМ""";Непубличные акционерные общества;141018, МОСКОВСКАЯ ОБЛАСТЬ, городской округ МЫТИЩИ, Г МЫТИЩИ, УЛ ТЕРЕШКОВОЙ, Д. 1А, ОФИС 403;1105029009601;5029141042;(495)780-72-62;sao@opcom.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ""";"АО ""ДГК""";Акционерные общества;680000, ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ. ФРУНЗЕ, Д.49;1051401746769;1434031363;(4212) 30-49-14;dgk@dgk.ru;хабаровский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ""";"АО ""ДРСК""";Акционерные общества;675004, АМУРСКАЯ ОБЛАСТЬ, Г. БЛАГОВЕЩЕНСК, УЛ. ШЕВЧЕНКО, Д. 32;1052800111308;2801108200;+7 (416) 239-73-59;doc@drsk.ru;амурская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДЕЛОВАЯ СЕТЬ - ИРКУТСК""";"АО ""ДЕЛОВАЯ СЕТЬ - ИРКУТСК""";Акционерные общества;664056, ИРКУТСКАЯ ОБЛАСТЬ, Г. ИРКУТСК, УЛ. АКАДЕМИЧЕСКАЯ, Д.28/1;1033801017810;3808027376;(3952) 55-05-06;tech@dsi.ru;иркутская область
